id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
22	0001/1101/0111/0100	2	two-support	1324:2-1-1;1423:3-1;2341:4;2413:4;3214:2-1-1;3241:3-1
23	0001/1101/1000/1011	2	two-support	1324:2-1-1;1432:2-1-1;2341:4;2431:3-1;3124:3-1;3142:4
24	0001/1101/1011/1000	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
25	0010/0001/0100/1000	3	scalar-permutation	1234:1-1-1-1;1342:3-1;2143:2-2;2314:3-1;4132:3-1;4213:3-1
26	0010/0001/0111/1011	2	two-support	1243:2-1-1;1342:3-1;2134:2-1-1;2314:3-1;4132:3-1;4213:3-1
27	0010/0001/1000/0100	2	scalar-permutation	1243:2-1-1;1324:2-1-1;2134:2-1-1;2341:4;4123:4;4231:2-1-1
28	0010/0001/1011/0111	3	two-support	1234:1-1-1-1;1324:2-1-1;2143:2-2;2341:4;4123:4;4231:2-1-1
29	0010/0100/0001/1000	2	scalar-permutation	1324:2-1-1;1432:2-1-1;2134:2-1-1;2413:4;4123:4;4312:4
30	0010/0100/0111/1110	2	two-support	1324:2-1-1;1423:3-1;2134:2-1-1;2413:4;4132:3-1;4312:4
31	0010/0100/1000/0001	1	scalar-permutation	1342:3-1;1423:3-1;2143:2-2;2431:3-1;4132:3-1;4321:2-2
32	0010/0100/1110/0111	2	two-support	1342:3-1;1432:2-1-1;2143:2-2;2431:3-1;4123:4;4321:2-2
33	0010/0111/0001/1011	2	two-support	1423:3-1;1432:2-1-1;2134:2-1-1;2314:3-1;4123:4;4312:4
34	0010/0111/0100/1110	3	two-support	1234:1-1-1-1;1243:2-1-1;2143:2-2;2314:3-1;4132:3-1;4312:4
35	0010/0111/1011/0001	2	two-support	1423:3-1;1432:2-1-1;2143:2-2;2341:4;4132:3-1;4321:2-2
36	0010/0111/1110/0100	3	two-support	1234:1-1-1-1;1243:2-1-1;2134:2-1-1;2341:4;4123:4;4321:2-2
37	0010/1000/0001/0100	3	scalar-permutation	1234:1-1-1-1;1423:3-1;2314:3-1;2431:3-1;4213:3-1;4321:2-2
38	0010/1000/0100/0001	2	scalar-permutation	1243:2-1-1;1432:2-1-1;2341:4;2413:4;4231:2-1-1;4312:4
39	0010/1000/1011/1110	3	two-support	1234:1-1-1-1;1423:3-1;2314:3-1;2413:4;4231:2-1-1;4321:2-2
40	0010/1000/1110/1011	2	two-support	1243:2-1-1;1432:2-1-1;2341:4;2431:3-1;4213:3-1;4312:4
41	0010/1011/0001/0111	3	two-support	1234:1-1-1-1;1324:2-1-1;2413:4;2431:3-1;4213:3-1;4321:2-2
42	0010/1011/0111/0001	2	two-support	1243:2-1-1;1342:3-1;2413:4;2431:3-1;4231:2-1-1;4312:4
43	0010/1011/1000/1110	2	two-support	1243:2-1-1;1324:2-1-1;2134:2-1-1;2143:2-2;4231:2-1-1;4321:2-2
44	0010/1011/1110/1000	3	two-support	1234:1-1-1-1;1342:3-1;2134:2-1-1;2143:2-2;4213:3-1;4312:4
45	0010/1110/0100/0111	2	two-support	1342:3-1;1432:2-1-1;2341:4;2413:4;4213:3-1;4231:2-1-1
46	0010/1110/0111/0100	2	two-support	1324:2-1-1;1423:3-1;2314:3-1;2431:3-1;4213:3-1;4231:2-1-1
47	0010/1110/1000/1011	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
48	0010/1110/1011/1000	2	two-support	1324:2-1-1;1432:2-1-1;2314:3-1;2413:4;4123:4;4132:3-1
49	0100/0001/0010/1000	2	scalar-permutation	1243:2-1-1;1324:2-1-1;3142:4;3214:2-1-1;4123:4;4312:4
50	0100/0001/0111/1101	2	two-support	1243:2-1-1;1342:3-1;3124:3-1;3214:2-1-1;4123:4;4312:4
51	0100/0001/1000/0010	3	scalar-permutation	1234:1-1-1-1;1342:3-1;3124:3-1;3241:3-1;4132:3-1;4321:2-2
52	0100/0001/1101/0111	3	two-support	1234:1-1-1-1;1324:2-1-1;3142:4;3241:3-1;4132:3-1;4321:2-2
53	0100/0010/0001/1000	3	scalar-permutation	1234:1-1-1-1;1423:3-1;3124:3-1;3412:2-2;4132:3-1;4213:3-1
54	0100/0010/0111/1110	3	two-support	1234:1-1-1-1;1432:2-1-1;3124:3-1;3412:2-2;4123:4;4213:3-1
55	0100/0010/1000/0001	2	scalar-permutation	1243:2-1-1;1432:2-1-1;3142:4;3421:4;4123:4;4231:2-1-1
56	0100/0010/1110/0111	2	two-support	1243:2-1-1;1423:3-1;3142:4;3421:4;4132:3-1;4231:2-1-1
57	0100/0111/0001/1101	2	two-support	1423:3-1;1432:2-1-1;3124:3-1;3214:2-1-1;4132:3-1;4213:3-1
58	0100/0111/0010/1110	2	two-support	1324:2-1-1;1342:3-1;3142:4;3214:2-1-1;4123:4;4213:3-1
59	0100/0111/1101/0001	2	two-support	1423:3-1;1432:2-1-1;3142:4;3241:3-1;4123:4;4231:2-1-1
60	0100/0111/1110/0010	2	two-support	1324:2-1-1;1342:3-1;3124:3-1;3241:3-1;4132:3-1;4231:2-1-1
61	0100/1000/0001/0010	2	scalar-permutation	1324:2-1-1;1432:2-1-1;3214:2-1-1;3421:4;4231:2-1-1;4312:4
62	0100/1000/0010/0001	1	scalar-permutation	1342:3-1;1423:3-1;3241:3-1;3412:2-2;4213:3-1;4321:2-2
63	0100/1000/1101/1110	2	two-support	1324:2-1-1;1432:2-1-1;3214:2-1-1;3412:2-2;4231:2-1-1;4321:2-2
64	0100/1000/1110/1101	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
65	0100/1101/0001/0111	3	two-support	1234:1-1-1-1;1324:2-1-1;3412:2-2;3421:4;4231:2-1-1;4312:4
66	0100/1101/0111/0001	2	two-support	1243:2-1-1;1342:3-1;3412:2-2;3421:4;4213:3-1;4321:2-2
67	0100/1101/1000/1110	3	two-support	1234:1-1-1-1;1342:3-1;3124:3-1;3142:4;4231:2-1-1;4321:2-2
68	0100/1101/1110/1000	2	two-support	1243:2-1-1;1324:2-1-1;3124:3-1;3142:4;4213:3-1;4312:4
69	0100/1110/0010/0111	2	two-support	1243:2-1-1;1423:3-1;3241:3-1;3412:2-2;4312:4;4321:2-2
70	0100/1110/0111/0010	3	two-support	1234:1-1-1-1;1432:2-1-1;3214:2-1-1;3421:4;4312:4;4321:2-2
71	0100/1110/1000/1101	2	two-support	1243:2-1-1;1432:2-1-1;3241:3-1;3421:4;4123:4;4132:3-1
72	0100/1110/1101/1000	3	two-support	1234:1-1-1-1;1423:3-1;3214:2-1-1;3412:2-2;4123:4;4132:3-1
73	0111/0001/0010/1011	2	two-support	1243:2-1-1;1324:2-1-1;3124:3-1;3142:4;4213:3-1;4312:4
74	0111/0001/0100/1101	3	two-support	1234:1-1-1-1;1342:3-1;2134:2-1-1;2143:2-2;4213:3-1;4312:4
75	0111/0001/1011/0010	3	two-support	1234:1-1-1-1;1342:3-1;3124:3-1;3142:4;4231:2-1-1;4321:2-2
76	0111/0001/1101/0100	2	two-support	1243:2-1-1;1324:2-1-1;2134:2-1-1;2143:2-2;4231:2-1-1;4321:2-2
77	0111/0010/0001/1011	3	two-support	1234:1-1-1-1;1423:3-1;3214:2-1-1;3412:2-2;4123:4;4132:3-1
78	0111/0010/0100/1110	2	two-support	1243:2-1-1;1432:2-1-1;2134:2-1-1;2143:2-2;3214:2-1-1;3412:2-2
79	0111/0010/1011/0001	2	two-support	1243:2-1-1;1432:2-1-1;3241:3-1;3421:4;4123:4;4132:3-1
80	0111/0010/1110/0100	3	two-support	1234:1-1-1-1;1423:3-1;2134:2-1-1;2143:2-2;3241:3-1;3421:4
81	0111/0100/0001/1101	2	two-support	1324:2-1-1;1432:2-1-1;2314:3-1;2413:4;4123:4;4132:3-1
82	0111/0100/0010/1110	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
83	0111/0100/1101/0001	1	two-support	1342:3-1;1423:3-1;2341:4;2431:3-1;4123:4;4132:3-1
84	0111/0100/1110/0010	2	two-support	1324:2-1-1;1432:2-1-1;2341:4;2431:3-1;3124:3-1;3142:4
85	0111/1011/0001/0010	2	two-support	1324:2-1-1;1432:2-1-1;3214:2-1-1;3412:2-2;4231:2-1-1;4321:2-2
86	0111/1011/0010/0001	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
87	0111/1101/0001/0100	3	two-support	1234:1-1-1-1;1423:3-1;2314:3-1;2413:4;4231:2-1-1;4321:2-2
88	0111/1101/0100/0001	2	two-support	1243:2-1-1;1432:2-1-1;2341:4;2431:3-1;4213:3-1;4312:4
89	0111/1110/0010/0100	2	two-support	1243:2-1-1;1324:2-1-1;2314:3-1;2413:4;3241:3-1;3421:4
90	0111/1110/0100/0010	3	two-support	1234:1-1-1-1;1342:3-1;2341:4;2431:3-1;3214:2-1-1;3412:2-2
91	1000/0001/0010/0100	1	scalar-permutation	2143:2-2;2314:3-1;3124:3-1;3241:3-1;4213:3-1;4321:2-2
92	1000/0001/0100/0010	2	scalar-permutation	2134:2-1-1;2341:4;3142:4;3214:2-1-1;4231:2-1-1;4312:4
93	1000/0001/1011/1101	2	two-support	2143:2-2;2341:4;3124:3-1;3214:2-1-1;4213:3-1;4321:2-2
94	1000/0001/1101/1011	2	two-support	2134:2-1-1;2314:3-1;3142:4;3241:3-1;4231:2-1-1;4312:4
95	1000/0010/0001/0100	2	scalar-permutation	2134:2-1-1;2413:4;3214:2-1-1;3421:4;4123:4;4231:2-1-1
96	1000/0010/0100/0001	1	scalar-permutation	2143:2-2;2431:3-1;3241:3-1;3412:2-2;4132:3-1;4213:3-1
97	1000/0010/1011/1110	2	two-support	2134:2-1-1;2431:3-1;3214:2-1-1;3421:4;4123:4;4213:3-1
98	1000/0010/1110/1011	2	two-support	2143:2-2;2413:4;3241:3-1;3412:2-2;4132:3-1;4231:2-1-1
99	1000/0100/0001/0010	1	scalar-permutation	2314:3-1;2431:3-1;3124:3-1;3412:2-2;4132:3-1;4321:2-2
100	1000/0100/0010/0001	0	scalar-permutation	2341:4;2413:4;3142:4;3421:4;4123:4;4312:4
101	1000/0100/1101/1110	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
102	1000/0100/1110/1101	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
103	1000/1011/0001/1101	2	two-support	2413:4;2431:3-1;3124:3-1;3214:2-1-1;4123:4;4231:2-1-1
104	1000/1011/0010/1110	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
105	1000/1011/1101/0001	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
106	1000/1011/1110/0010	2	two-support	2314:3-1;2341:4;3142:4;3214:2-1-1;4132:3-1;4231:2-1-1
107	1000/1101/0001/1011	2	two-support	2134:2-1-1;2314:3-1;3412:2-2;3421:4;4132:3-1;4321:2-2
108	1000/1101/0100/1110	2	two-support	2134:2-1-1;2341:4;3214:2-1-1;3241:3-1;4132:3-1;4312:4
109	1000/1101/1011/0001	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
110	1000/1101/1110/0100	2	two-support	2143:2-2;2314:3-1;3214:2-1-1;3241:3-1;4123:4;4321:2-2
111	1000/1110/0010/1011	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
112	1000/1110/0100/1101	2	two-support	2143:2-2;2431:3-1;3142:4;3412:2-2;4213:3-1;4231:2-1-1
113	1000/1110/1011/0010	2	two-support	2134:2-1-1;2431:3-1;3124:3-1;3412:2-2;4312:4;4321:2-2
114	1000/1110/1101/0100	2	two-support	2134:2-1-1;2413:4;3124:3-1;3421:4;4213:3-1;4231:2-1-1
115	1011/0001/0010/0111	2	two-support	2143:2-2;2314:3-1;3214:2-1-1;3241:3-1;4123:4;4321:2-2
116	1011/0001/0111/0010	2	two-support	2134:2-1-1;2341:4;3214:2-1-1;3241:3-1;4132:3-1;4312:4
117	1011/0001/1000/1101	3	two-support	1234:1-1-1-1;1243:2-1-1;2134:2-1-1;2341:4;4123:4;4321:2-2
118	1011/0001/1101/1000	3	two-support	1234:1-1-1-1;1243:2-1-1;2143:2-2;2314:3-1;4132:3-1;4312:4
119	1011/0010/0001/0111	2	two-support	2134:2-1-1;2413:4;3124:3-1;3421:4;4213:3-1;4231:2-1-1
120	1011/0010/0111/0001	2	two-support	2143:2-2;2431:3-1;3142:4;3412:2-2;4213:3-1;4231:2-1-1
121	1011/0010/1000/1110	3	two-support	1234:1-1-1-1;1243:2-1-1;2143:2-2;2431:3-1;3124:3-1;3421:4
122	1011/0010/1110/1000	3	two-support	1234:1-1-1-1;1243:2-1-1;2134:2-1-1;2413:4;3142:4;3412:2-2
123	1011/0111/0001/0010	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
124	1011/0111/0010/0001	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
125	1011/1000/0001/1101	2	two-support	1324:2-1-1;1423:3-1;2314:3-1;2431:3-1;4213:3-1;4231:2-1-1
126	1011/1000/0010/1110	2	two-support	1324:2-1-1;1423:3-1;2341:4;2413:4;3214:2-1-1;3241:3-1
127	1011/1000/1101/0001	2	two-support	1342:3-1;1432:2-1-1;2341:4;2413:4;4213:3-1;4231:2-1-1
128	1011/1000/1110/0010	2	two-support	1342:3-1;1432:2-1-1;2314:3-1;2431:3-1;3214:2-1-1;3241:3-1
129	1011/1101/0001/1000	2	two-support	1324:2-1-1;1423:3-1;2134:2-1-1;2413:4;4132:3-1;4312:4
130	1011/1101/1000/0001	2	two-support	1342:3-1;1432:2-1-1;2143:2-2;2431:3-1;4123:4;4321:2-2
131	1011/1110/0010/1000	2	two-support	1324:2-1-1;1423:3-1;2143:2-2;2314:3-1;3142:4;3412:2-2
132	1011/1110/1000/0010	2	two-support	1342:3-1;1432:2-1-1;2134:2-1-1;2341:4;3124:3-1;3421:4
133	1101/0001/0100/0111	2	two-support	2314:3-1;2341:4;3142:4;3214:2-1-1;4132:3-1;4231:2-1-1
134	1101/0001/0111/0100	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
135	1101/0001/1000/1011	2	two-support	1324:2-1-1;1342:3-1;3124:3-1;3241:3-1;4132:3-1;4231:2-1-1
136	1101/0001/1011/1000	2	two-support	1324:2-1-1;1342:3-1;3142:4;3214:2-1-1;4123:4;4213:3-1
137	1101/0100/0001/0111	2	two-support	2134:2-1-1;2431:3-1;3124:3-1;3412:2-2;4312:4;4321:2-2
138	1101/0100/0111/0001	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
139	1101/0100/1000/1110	2	two-support	1324:2-1-1;1342:3-1;2134:2-1-1;2431:3-1;3142:4;3421:4
140	1101/0100/1110/1000	2	two-support	1324:2-1-1;1342:3-1;2143:2-2;2413:4;3124:3-1;3412:2-2
141	1101/0111/0001/0100	2	two-support	2134:2-1-1;2431:3-1;3214:2-1-1;3421:4;4123:4;4213:3-1
142	1101/0111/0100/0001	2	two-support	2143:2-2;2413:4;3241:3-1;3412:2-2;4132:3-1;4231:2-1-1
143	1101/1000/0001/1011	3	two-support	1234:1-1-1-1;1432:2-1-1;3214:2-1-1;3421:4;4312:4;4321:2-2
144	1101/1000/0100/1110	3	two-support	1234:1-1-1-1;1432:2-1-1;2314:3-1;2341:4;3241:3-1;3412:2-2
145	1101/1000/1011/0001	2	two-support	1243:2-1-1;1423:3-1;3241:3-1;3412:2-2;4312:4;4321:2-2
146	1101/1000/1110/0100	2	two-support	1243:2-1-1;1423:3-1;2314:3-1;2341:4;3214:2-1-1;3421:4
147	1101/1011/0001/1000	3	two-support	1234:1-1-1-1;1432:2-1-1;3124:3-1;3412:2-2;4123:4;4213:3-1
148	1101/1011/1000/0001	2	two-support	1243:2-1-1;1423:3-1;3142:4;3421:4;4132:3-1;4231:2-1-1
149	1101/1110/0100/1000	3	two-support	1234:1-1-1-1;1432:2-1-1;2143:2-2;2413:4;3142:4;3214:2-1-1
150	1101/1110/1000/0100	2	two-support	1243:2-1-1;1423:3-1;2134:2-1-1;2431:3-1;3124:3-1;3241:3-1
151	1110/0010/0100/0111	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
152	1110/0010/0111/0100	2	two-support	2413:4;2431:3-1;3124:3-1;3214:2-1-1;4123:4;4231:2-1-1
153	1110/0010/1000/1011	2	two-support	1423:3-1;1432:2-1-1;3142:4;3241:3-1;4123:4;4231:2-1-1
154	1110/0010/1011/1000	2	two-support	1423:3-1;1432:2-1-1;3124:3-1;3214:2-1-1;4132:3-1;4213:3-1
155	1110/0100/0010/0111	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
156	1110/0100/0111/0010	2	two-support	2134:2-1-1;2314:3-1;3412:2-2;3421:4;4132:3-1;4321:2-2
157	1110/0100/1000/1101	2	two-support	1423:3-1;1432:2-1-1;2143:2-2;2341:4;4132:3-1;4321:2-2
158	1110/0100/1101/1000	2	two-support	1423:3-1;1432:2-1-1;2134:2-1-1;2314:3-1;4123:4;4312:4
159	1110/0111/0010/0100	2	two-support	2143:2-2;2341:4;3124:3-1;3214:2-1-1;4213:3-1;4321:2-2
160	1110/0111/0100/0010	2	two-support	2134:2-1-1;2314:3-1;3142:4;3241:3-1;4231:2-1-1;4312:4
161	1110/1000/0010/1011	2	two-support	1243:2-1-1;1342:3-1;3412:2-2;3421:4;4213:3-1;4321:2-2
162	1110/1000/0100/1101	2	two-support	1243:2-1-1;1342:3-1;2413:4;2431:3-1;4231:2-1-1;4312:4
163	1110/1000/1011/0010	3	two-support	1234:1-1-1-1;1324:2-1-1;3412:2-2;3421:4;4231:2-1-1;4312:4
164	1110/1000/1101/0100	3	two-support	1234:1-1-1-1;1324:2-1-1;2413:4;2431:3-1;4213:3-1;4321:2-2
165	1110/1011/0010/1000	2	two-support	1243:2-1-1;1342:3-1;3124:3-1;3214:2-1-1;4123:4;4312:4
166	1110/1011/1000/0010	3	two-support	1234:1-1-1-1;1324:2-1-1;3142:4;3241:3-1;4132:3-1;4321:2-2
167	1110/1101/0100/1000	2	two-support	1243:2-1-1;1342:3-1;2134:2-1-1;2314:3-1;4132:3-1;4213:3-1
168	1110/1101/1000/0100	3	two-support	1234:1-1-1-1;1324:2-1-1;2143:2-2;2341:4;4123:4;4231:2-1-1
